Title,Note,Id,Date de Sortie,Age Rating,Franchise,Genres,Hypes,nb_languages,nb_platforms,Themes,Collection,Graphismes,Publisher,Developer,Multiplayer,Perspective,Similar Games,Game Engine,Summary,Storyline
The Legend of Heroes: Trails of Cold Steel,77,13557,2013,Tout Public,,"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure']",0,5,4,['Fantasy'],Yes,1190400,"['XSEED Games', 'Nihon Falcom', 'NIS America']",['Nihon Falcom'],NA,Third person,"[7276, 20331, 22387, 24426, 25921, 26845, 27209, 36198, 103334, 115653]",PhyreEngine,"The Legend of Heroes: Trails of Cold Steel is a role-playing game and a part of the long running The Legend of Heroes series of games. The basic gameplay is nearly identical to the previous Kiseki series entries with a few changes. The biggest change to the battle system and also counting as a brand new feature is the ""Tactical Link System"". The ""Tactical Link"" allow players follow up with three different kinds of link attacks, dealing additional damage and providing various other benefits. ""Tactical Link"" becomes a more useful asset to the player as the story progress and characters level up their ""Link Levels"" with other characters. As the link levels increase, you will obtain new link abilities such as healing the link partner or increase the CP gain of the partner.",
Trine 3: The Artifacts of Power,68,8255,2015,Tout Public,,"['Platform', 'Puzzle', 'Adventure', 'Indie']",3,19,6,['Action'],Yes,2073600,['Frozenbyte'],['Frozenbyte'],Yes,Third person,"[20342, 24426, 25646, 28070, 55173, 55190, 56033, 77529, 89597, 110503]",Custom built engine,"Trine 3: The Artifacts of Power is a fairytale journey which takes you on a quest with three heroes: Amadeus the Wizard, Pontius the Knight, and Zoya the Thief. Playable in singleplayer and online or local co-op - test your skills in combat and solve puzzles in the most creative ways!","Amadeus the Wizard, Pontius the Knight, and Zoya the Thief have slowly come to the conclusion that having their lives commandeered by a powerful magical artifact is not a desirable state of existence on a permanent basis.

The heroes try to return their extraordinary gifts to the Artifact called Trine, and so they meddle with powers beyond their understanding. Trine shatters. With a literally heartless ancient sorcerer on the loose, and only a broken artifact to guide them, the heroes must try and repair the damage they've caused... or the damage that might yet be done."
Pixels,N/A,237448,2022,NA,,"['Role-playing (RPG)', 'Adventure']",0,0,1,['Fantasy'],Yes,NA,NA,NA,NA,Bird view / Isometric,"[23651, 47823, 55038, 55199, 81249, 96217, 103303, 106987, 113360, 115653]",NA,"Pixels is a pixelated farming game on Polygon. This web3 game is identical to other titles like Sunflower Land. Players plant seeds, harvest crops, get experience and level up and do quests.","Pixels is a fun casual game that's about gathering resources, advancing skills, and building relationships while exploring the story and quests woven throughout the Pixels Universe. It is an MMO where you can meet other players online too.
Pixels is a metaverse and MMORPG for the NFTs you already own. Taking a lot of inspiration from some of our childhood favorites like Stardew Valley and Runescape."
Adam's Venture: Origins,53,16298,2016,Tout Public,,"['Puzzle', 'Adventure', 'Indie']",2,32,4,"['Action', 'Stealth', 'Kids']",Yes,2073600,['SOEDESCO Publishing'],['Vertigo Games'],NA,Third person,"[20342, 24426, 25222, 25646, 55190, 77529, 96217, 106987, 106992, 111130]",Unity,"Embark on a bold adventure in Adam’s Venture: Origins. Set in the roaring 20’s, in Adam’s Venture: Origins you will explore ancient ruins, and recover mysterious artifacts. Together with your trusted accomplice Evelyn, you will have to outsmart the evil Clairvaux company.",
1979 Revolution: Black Friday,80,14360,2016,18 year,,"['Adventure', 'Indie']",0,13,7,"['Action', 'Historical', 'Drama', 'Non-fiction', 'Educational', 'Warfare']",Yes,8294400,"['iNK Stories', 'Digerati Distribution']","['N-Fusion Interactive', 'iNK Stories']",NA,Third person,"[18869, 28309, 30245, 35371, 36198, 47823, 78550, 80916, 96217, 111130]",Unity,"1979 Revolution, the action/adventure game, immerses players into the gritty, euphoric streets of revolution – where the choices you make may betray you. Set in the actual events of 1979 Iran.

1979 Revolution’s story is told through the main character Reza, a young photojournalist in Tehran, during the electrifying early days of the revolution in 1978. Without political or religious motivation, Reza begins his heart of darkness journey into social upheaval. Surrounded by a group of impassioned key figures involved in overthrowing the regime – Reza’s engagement becomes a high stakes chess match of decision making – whereby everything is at risk.","1979 Revolution’s story is told through the main character Reza, a young photojournalist in Tehran, during the electrifying early days of the revolution in 1978. Without political or religious motivation, Reza begins his heart of darkness journey into social upheaval. Surrounded by a group of impassioned key figures involved in overthrowing the regime – Reza’s engagement becomes a high stakes chess match of decision making – whereby everything is at risk."
Assassin's Creed Chronicles Trilogy Pack,70,52416,2016,18 year,,['Adventure'],1,0,4,"['Action', 'Fantasy', 'Historical', 'Stealth']",Yes,2073600,['Ubisoft Entertainment'],['Climax Studios'],NA,Side view,"[113, 127, 128, 533, 5606, 7213, 8223, 14902, 14903, 19441]",NA,"Expand your Assassin’s Creed experience and discover the forgotten stories of three remarkable Assassins in brand-new settings with fresh 2.5D stealth gameplay:

• Play the adventures of three cult Assassins:
Each chapter comes with a unique hero and a new setting all interconnected through a common plot that will only be revealed at the very end.
• Stealth in a new dimension:
Experience the thrill of being a master Assassin in 2.5D. Sneak and hide to avoid detection and fool enemies using whistles and disguises.
• Experience a fast & fluid ""assault course"":
Whether you’re running from danger, negotiating obstacles or stealthily climbing you will truly feel the freedom of moving as an Assassin.
• Master three different combat styles:
Each chronicle comes with a different assassin equipped with a distinct range of weapons and gadgets.
• Navigate multiple planes :
Switch between environmental layers and choose the right path according to your needs.",
Dirt Rally,85,9928,2015,Tout Public,,"['Racing', 'Simulator', 'Sport']",4,0,6,['Non-fiction'],Yes,1190400,"['Codemasters', 'Feral Interactive']",['Codemasters'],No,First person,"[3772, 7350, 9278, 11646, 16992, 19082, 27043, 28113, 33153, 78511]",Ego Engine,"Dirt Rally is a racing video game focused on rallying. Players compete in timed stage events on tarmac and off-road terrain in varying weather conditions. On release, the game features 17 cars, 36 stages from three real world locations, and asynchronous multiplayer. Rallycross and player versus player multiplayer modes are planned. Codemasters announced a partnership with the FIA World Rallycross Championship in July 2015. The early access version contains cars from the 1960's, 70's, 80's, Group B, Group A, 2010s Modern Rally, and Pikes Peak.",
Dead Star,70,21960,2016,Tout Public,,"['Shooter', 'Real Time Strategy (RTS)', 'Strategy', 'Indie', 'Arcade']",0,0,2,"['Action', 'Science fiction']",Yes,NA,['Armature Studio'],['Armature Studio'],NA,Bird view / Isometric,"[9789, 11666, 17111, 17130, 25311, 30229, 43367, 55042, 105269, 107318]",NA,"Combining the beauty of space combat and RPG elements, Dead Star excites with online multiplayer space shooting action. Earn loot and levels as you fight in procedurally generated battlefields to further customize your experience – including a massive warship used to invade live player matches.","You need to survive in a part of the galaxy that has been deemed as a prison. Upgrade your ship, form alliances and get rid of the enemies."
Enter the Gungeon,82,11182,2016,Tout Public,,"['Shooter', 'Adventure', 'Indie', 'Arcade']",3,21,7,"['Action', 'Fantasy']",Yes,1821600,['Devolver Digital'],['Dodge Roll'],Yes,Bird view / Isometric,"[3222, 3227, 9806, 11646, 18182, 19150, 26226, 26855, 36198, 56033]",Unity,"Enter the Gungeon is a gunfight dungeon crawler following a band of regretful misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past. Select a hero and battle your way to the bot¬tom of the Gungeon by surviving a challenging and evolving series of floors filled with the dangerously adorable Gundead and fearsome Gungeon bosses armed to the teeth. Gather precious loot, discover hidden secrets, and chat with opportunistic merchants and shopkeepers to purchase powerful items to gain an edge.",
Job Simulator,71,175760,1970,Tout Public,,['Simulator'],1,2,0,['Action'],Yes,8294400,NA,NA,NA,NA,"[25946, 36553, 37419, 76263, 101573, 103302, 114285, 118871, 119422, 121758]",NA,,
