Title,Note,Id,Date de Sortie,Age Rating,Franchise,Genres,Hypes,nb_languages,nb_platforms,Themes,Collection,Graphismes,Publisher,Developer,Multiplayer,Perspective,Similar Games,Game Engine,Summary,Storyline
The Last Campfire,83,113115,2020,Tout Public,NA,"['Puzzle', 'Adventure', 'Indie']",13,29,5,['Fantasy'],Yes,2073600,['Hello Games'],['Hello Games'],NA,Third person,"[24426, 25222, 25646, 26223, 27266, 28070, 65503, 96217, 106987, 106992]",In-house engine,"The Last Campfire is an adventure, a story of a lost ember trapped in a puzzling place, searching for meaning and a way home.",
The Legend of Heroes: Trails into Reverie,81,136673,2020,18 year,NA,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",0,10,4,"['Action', 'Fantasy', 'Science fiction']",Yes,1184000,['Nihon Falcom'],['Nihon Falcom'],NA,Third person,"[25311, 27092, 28182, 55038, 55199, 81249, 96217, 106987, 115653, 119171]",PhyreEngine,"Three different legends are about to unfold! Determine the fates of Rean Schwarzer, Lloyd Bannings, and the mysterious ""C"" in this climactic chapter of The Legend of Heroes series.",
Moon: Remix RPG Adventure,77,73672,1997,Tout Public,NA,"['Puzzle', 'Role-playing (RPG)', 'Adventure']",0,0,1,['Comedy'],Yes,2073600,['ASCII Entertainment'],['Love-de-Lic'],NA,Bird view / Isometric,"[18841, 22387, 24426, 25222, 65503, 89597, 96217, 106992, 115280, 115653]",NA,"In this ""anti-RPG"" adventure game notable for parodying and subverting common JRPG conventions, you level up by loving, not fighting. Revive dead animals and bond with everyone around you to obtain the most important thing in the universe — love.","One night, a young boy suddenly gets sucked inside the world of a role-playing video game. As it turns out, the ""hero"" he has been controlling this whole time is actually a murderous villain obsessed with collecting experience points. The boy has to undo the damage and stop the ""hero"" before it's too late."
Surgeon Simulator 2,70,127355,2020,18 year,NA,"['Puzzle', 'Simulator', 'Indie']",2,31,3,"['Action', 'Comedy', 'Party']",Yes,1190400,['Bossa Studios'],['Bossa Studios'],NA,First person,"[25311, 25646, 35994, 36553, 37419, 55190, 76263, 78550, 105011, 113895]",NA,"Surgeon Simulator is back! Arriving 2020, this electrifying sequel injects a delirious dose of adrenaline straight into the heart of the original, cranking everything up to a whole new level. ...expect a handful (or four?) of surprises along the way!",
Captain Tsubasa: Rise of New Champions,69,128769,2020,Tout Public,NA,"['Role-playing (RPG)', 'Sport', 'Arcade']",2,19,3,['Action'],Yes,2073600,"['Bandai Namco Entertainment', 'Bandai Namco Entertainment Europe', 'Bandai Namco Entertainment America']",['Tamsoft'],NA,Third person,"[15851, 18681, 24426, 28010, 57372, 57738, 72812, 96209, 114287, 119422]",NA,"A new Captain Tsubasa game is here, 10 years after the release of the previous console game!

The worlds of Soccer and Anime converge in Captain Tsubasa: Rise of New Champions, based on the renowned Captain Tsubasa series. The game chronicles the athletic exploits of Tsubasa Ozora as he plays out his love for the game and advances through the ranks of multiple Soccer leagues. Captain Tsubasa: Rise of New Champions immerses players in an action packed soccer game that features exhilarating gameplay, over the top signature shots and accessible gameplay.",
Drake Hollow,75,125630,2020,Tout Public,NA,"['Adventure', 'Indie']",1,8,2,"['Action', 'Survival', 'Open world']",Yes,2062080,['The Molasses Flood'],['The Molasses Flood'],Yes,Third person,"[10032, 10776, 17548, 25300, 26574, 26658, 37419, 96217, 106987, 111130]",NA,"Welcome to The Hollow, a blighted and dying place, and home to the Drakes.

Drakes are the friendly vegetable folk native to these parts, and they need your help. They’re hungry, thirsty, and need a place to sleep. They can - quite literally - die of boredom. It’s on you to save them. Build gardens to provide them with food, wells for water, and yoga balls and puppet shows to keep them entertained. You can even craft treadmills and solar panels to generate power for Tesla coils, electric fences, and other fortifications.

You’ll need robust defenses, as you’ll quickly see that The Drakes aren’t the only residents of The Hollow. The Feral have overrun the land, evil creatures that are looking to shred anything happy or good. Battle them one-on-one with a wide array of weapons ranging from tennis rackets to nail guns, bring your friends to lend a hand, and build your defenses so you can take them out without lifting a finger.

Travel from region to region, season to season, taking the Drakes and their village with you. Each region is over a square mile of territory to explore, dynamically generated and populated with each passing season.

You must balance your time carefully. What supplies are most crucial at any given moment? What does your village need? Metal from the supply caches to build your defenses, or crystals from the blighted regions to grow your Drakes? Prove that you’ve got what it takes to help the Drakes and take back The Hollow.",
Immortal Realms: Vampire Wars,70,119258,2020,16 year,NA,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",1,22,4,['Action'],Yes,2073600,['Kalypso Media'],['Palindrome Interactive'],NA,NA,"[7615, 13196, 25311, 26845, 27092, 28182, 35994, 36258, 102057, 119171]",NA,"Immortal Realms: Vampire Wars is an engaging strategy game set in a dark vampire world in turmoil, that combines empire management and turn-based combat with unique card-game elements. Descend into a mythical world filled with horrors and legends – and hurl yourself into a compelling gothic adventure paired with a challenging game experience. Discover the secrets of Nemire and experience an enthralling story from the perspective of four mighty vampire lords, each with their own goals and agendas.

Command one of three unique vampire clans with distinctive units, powers, gameplay mechanics and characters, making strategic manoeuvres in “Kingdom” mode before switching over to “Combat” mode to take on your foes in tense, closely fought battles. Original card game elements enhance the gameplay and provide a refreshing take on the genre. Each clan and vampire lord has access to their own set of cards, which can be combined to powerful effect.",
Jump Force: Deluxe Edition,50,118748,2019,Tout Public,NA,['Fighting'],0,0,4,['Action'],Yes,2073600,['Bandai Namco Entertainment'],"['Spike ChunSoft', 'Bandai Namco Entertainment']",NA,Side view,"[4052, 8537, 47160, 61985, 76852, 89550, 101608, 103288, 103369, 109277]",NA,"For the first time ever, the most famous Manga heroes are thrown into a whole new battleground: our world. Uniting to fight the most dangerous threat, the Jump Force will bear the fate of the entire human kind.

JUMP FORCE - Deluxe Edition includes :

- The game
- The Characters Pass: 9 additional characters + their respective costumes and moves for your Avatar + 4 days of early access to play with those characters before everyone else.",
Madden NFL 21,63,132707,2020,Tout Public,NA,"['Simulator', 'Sport', 'Strategy']",1,2,4,[],Yes,2073600,['Electronic Arts'],['EA Tiburon'],NA,Bird view / Isometric,"[17613, 24620, 31515, 36269, 36346, 55590, 65827, 79134, 112754, 114286]",Frostbite,"Go all out in Madden NFL 21 where a fearless new generation of rising NFL stars is poised to change the game. Packed with fresh new features and innovative gameplay enhancements, Madden NFL 21 delivers new levels of ingenuity and control developed to inspire creativity on and off the field.",
Project CARS 3,70,121173,2020,Tout Public,NA,['Racing'],1,26,3,[],Yes,1190400,['Bandai Namco Entertainment'],['Slightly Mad Studios'],NA,NA,"[19382, 27553, 55192, 80382, 104983, 107196, 109292, 131384, 249253, 255659]",NA,"Project cars 3 is the third installment in the best-seller racing franchise that brings all the intense thrills, emotions and fun from the vibrant world of motor racing to vivid life as players undertake a whole new exciting career journey that sees them Rise from Weekend Warrior to racing Legend. Also new to the franchise is a deeply engaging metagame that challenges players to race hard and earn in-game credits with which to Buy and own hundreds of cars from the world's most Elite brands and race them all on dynamic and spectacular circuits around the globe Featuring stunning all-weather, all-seasons conditions. Race-won credits and XP will also entice players to Buy authentic performance upgrades and customization options for their stable of exclusive cars, including wheels, tires, body Kits, rims, as well as personalization Options to create their own racing hero personas. With a completely redesigned and unrivaled Controller experience, an even more accurate and fun handling model, adjustable skill settings for every level of driver and every element of weather-affected races, Project cars 3 is the biggest, most exciting and authentic Evolution to the definitive racing franchise.",
