Title,Note,Id,Date de Sortie,Age Rating,Franchise,Genres,Hypes,nb_languages,nb_platforms,Themes,Collection,Graphismes,Publisher,Developer,Multiplayer,Perspective,Similar Games,Game Engine,Summary,Storyline
Bleach: Brave Souls,N/A,23975,2015,Tout Public,NA,"['Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",0,15,4,"['Action', 'Fantasy']",Yes,1190400,['KLab'],['KLab'],Yes,Bird view / Isometric,"[24426, 27209, 28010, 54775, 55199, 96217, 103168, 106987, 113636, 114009]",NA,Brave Souls is an action game based on the highly successful Bleach manga and anime franchise for mobile platforms.,
Dawn of the Monsters,81,120562,2022,16 year,NA,"['Fighting', 'Adventure', 'Indie']",1,8,7,"['Action', 'Fantasy']",Yes,810000,['WayForward'],['13AM Games'],NA,Side view,"[24426, 29032, 36198, 55199, 94772, 96217, 101608, 106987, 111130, 113360]",NA,"The cataclysmic battle between giant monsters has begun in this manga-inspired, side-scrolling, kaiju beat-'em-up! Titanic creatures known as Nephilim have invaded Earth, and the only hope of stopping them is DAWN (Defense Alliance Worldwide Network), which unleashes its own colossal combatants to defend against the enemy hordes! Take control of four hulking behemoths - Megadon, Aegis Prime, Tempest Galahad, and Ganira - each with distinct abilities and play styles, and smash your way through destructible real-world environments spanning more than 35 missions! Power up with DNA augments, crush foes with devastating Rage moves and brutal finishers, and team up with a friend for 2-player co-op action! You are the planet's last line of defense...but will that be enough for mankind to survive the Dawn of the Monsters!?",
Grand Theft Auto Online,80,134710,2022,18 year,NA,"['Shooter', 'Adventure']",6,0,2,"['Action', 'Comedy', 'Sandbox', 'Open world']",Yes,8294400,['Rockstar Games'],['Rockstar North'],NA,First person,"[1877, 19164, 26574, 37419, 47823, 103261, 103292, 105011, 106805, 115785]",NA,"Grand Theft Auto Online is an online multiplayer action-adventure game, and is a standalone version of Grand Theft Auto V. Set within the fictional state of San Andreas (based on Southern California), Grand Theft Auto Online allows up to 30 players to explore its open world environment and engage in cooperative or competitive game matches. The game features a range of technical and graphical improvements across the entire experience including performance enhancements for select vehicles in GTA Online, and so much more.",
Grand Theft Auto V,97,1020,2013,18 year,NA,"['Shooter', 'Racing', 'Adventure']",0,27,5,"['Action', 'Comedy', 'Sandbox', 'Open world']",Yes,995400,"['Rockstar Games', 'Take-Two Interactive']",['Rockstar North'],Yes,First person,"[40, 731, 732, 733, 960, 1121, 1985, 3262, 9630, 19441]",RAGE,"Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.","Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay afloat in an era of economic uncertainty and cheap reality TV.

Amidst the turmoil, three very different criminals plot their own chances of survival and success: Franklin, a street hustler looking for real opportunities and serious money; Michael, a professional ex-con whose retirement is a lot less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Running out of options, the crew risks everything in a series of daring"
Phantom Breaker: Omnia,68,140090,2022,16 year,NA,"['Fighting', 'Arcade']",0,19,4,['Action'],Yes,1280000,['Rocket Panda Games'],['GameLoop'],NA,Side view,"[4052, 8537, 10605, 43367, 87728, 89550, 103269, 103369, 109277, 117533]",NA,"Phantom Breaker Omnia is a fast-paced 2-D anime fighting game that features 20 unique characters, pitted against one another to make their greatest wishes come true. The ability to choose between 3 fighting styles will appeal to seasoned gamers while making the game accessible to newcomers.",
Paradise Killer,81,127816,2020,16 year,NA,"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel']",0,9,6,"['Fantasy', 'Open world', 'Mystery']",Yes,2073600,['Fellow Traveller'],['Kaizen Game Works'],NA,First person,"[236, 17548, 24426, 26223, 80916, 81249, 96217, 103303, 106987, 115653]",NA,"Paradise Island, a world outside reality. There’s been a murder that only ""investigation freak"" Lady Love Dies can solve. Gather evidence and interrogate suspects in this open world adventure. You can accuse anyone, but you’ll have to prove your case in trial to convict. It’s up to you to decide who’s guilty.",
Tunic,85,23733,2022,Tout Public,NA,"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",68,68,7,"['Action', 'Fantasy']",Yes,1190400,['Finji'],['Andrew Shouldice'],NA,Bird view / Isometric,"[18182, 22387, 24426, 26226, 28070, 28168, 36198, 55190, 56033, 96217]",Unity,"Tunic is an action adventure about a tiny fox in a big world. Explore the wilderness, discover spooky ruins, and fight terrible creatures from long ago.","Tunic is an action adventure game about a small fox in a big world, who must explore the countryside, fight monsters, and discover secrets. Crafted to evoke feelings of classic action adventure games, Tunic will challenge the player with unique items, skillful combat techniques, and arcane mysteries as our hero forges their way through an intriguing new world."
Dance Dance Revolution A3,N/A,253128,2022,NA,NA,"['Music', 'Arcade']",0,0,1,[],Yes,NA,['Konami'],"['Bemani', 'Konami']",No,Side view,"[18981, 25905, 86847, 87150, 90788, 90965, 103315, 119256, 120278, 275607]",NA,"Dance Dance Revolution A3 (pronounced Ace Three) is the 18th installment of the Dance Dance Revolution arcade series in Japan, and the sequel to Dance Dance Revolution A20 Plus. The game was released as an update on golden cabinets in Japan on March 17, 2022, including those imported in the United States. An upgrade for older cabinets was released in Asia (including Japan, South Korea, and several other countries), Australasia, and the United States (Hawaii only) on June 22, 2022.",
Dark Deity,80,147215,2021,Tout Public,NA,"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Indie']",0,17,2,['Fantasy'],Yes,1190400,['Freedom Games'],['Sword & Axe LLC'],NA,Bird view / Isometric,"[13196, 19404, 25311, 26845, 35994, 79134, 96217, 106987, 109339, 115653]",NA,"Command legendary heroes to reshape a land fractured by broken oaths, reckless war, and a secret search for arcane power. The ancient artifacts and powerful weapons you discover will empower your cast of 30 playable characters as they form bonds and battle their way into legend.","Command legendary heroes to reshape a land fractured by broken oaths, reckless wars, and secret arcane powers. The technological and cultural achievements of a once-great civilization now lie locked inside the ruins of ancient temples throughout the world of Terrazael. Long after society’s mighty history is snuffed out by a powerful and mysterious “Calamity”, the people of Etlan teeter on the brink of total war.

In a desperate attempt to bolster his recruit ranks, King Varic of the Kingdom of Delia expedites the graduation of all students at the Brookstead Military Academy, severing a pact that has stood for a thousand years. With the course of their future undemocratically derailed, these four “graduates” of the Brookstead Academy set out to leave their mark on this world.

This is their story."
Gal Gun: Double Peace,64,185710,2022,16 year,NA,"['Shooter', 'Arcade']",0,4,1,"['Action', 'Romance']",Yes,2073600,['PQube'],['Inti Creates'],NA,First person,"[19164, 28552, 43367, 55038, 96239, 101211, 103292, 103301, 113114, 119177]",NA,"The Gal*Gun series is centered around a protagonist who becomes Super Popular under bewildering circumstances, forcing him to fend off hordes of girls who want to confess their love to him! Using his special Pheromone Shot, he must take aim and fire at the approaching ladies to send them into states of euphoria! Meanwhile, he must confess his love to one of the beautiful heroines in this part-shooting game, part-dating sim series!","When Houdai is shot by cupid angel Ekoro, he becomes immensely popular and suddenly every girl at the academy becomes hot for him. But being irresistible is hardly a dream come true! Every love letter, shout of adulation, and advancing kisses drains his energy! And worse - if he doesn't find his one true love by the end of the day, he will become cursed and forever alone!"
