Title,Note,Id,Date de Sortie,Age Rating,Franchise,Genres,Hypes,nb_languages,nb_platforms,Themes,Collection,Graphismes,Publisher,Developer,Multiplayer,Perspective,Similar Games,Game Engine,Summary,Storyline
Total War: Warhammer II,87,28028,2017,16 year,NA,"['Real Time Strategy (RTS)', 'Strategy']",5,0,3,"['Action', 'Fantasy']",Yes,9000000,"['Sega', 'Sega Games']",['The Creative Assembly'],NA,Bird view / Isometric,"[6985, 22387, 27092, 34269, 36198, 36926, 56967, 107218, 113201, 119156]",TW Engine 3,"Total War: Warhammer II is a strategy game of titanic proportions. Choose from four unique, varied factions and wage war your way; mounting a campaign of conquest to save or destroy a vast and vivid fantasy world. This is a game of two halves: one a turn-based open-world campaign, and the other intense, tactical real-time battles across the fantastical landscapes of the New World.","""Millennia ago, besieged by a Chaos invasion, a conclave of High Elf mages forged a vast, arcane vortex. Its purpose was to draw the Winds of Magic from the world as a sinkhole drains an ocean, and blast the Daemonic hordes back to the Realm of Chaos. Now the Great Vortex falters, and the world again stands at the brink of ruin.

Powerful forces move to heal the maelstrom and avert catastrophe. Yet others seek to harness its terrible energies for their own bitter purpose. The race is on, and the very fate of the world will lie in the hands of the victor.

Prince Tyrion, Defender of Ulthuan, guides the High Elves in their desperate efforts to stabilise the vortex as it roils above their home continent.

Atop his palanquin-throne, the Slann Mage-Priest Mazdamundi directs his Lizardmen war-hosts as they surge northward from Lustria. He, too, is intent on preventing cataclysm, though the methods of The Old Ones must prevail.

The Witch King Malekith and his sadistic Dark Elf hordes spew forth from Naggaroth and their labyrinthine Black Arks. He tastes great weakness in the vortex – and great opportunity in its demise.

Meanwhile a fourth, secretive race stirs, their motives obscured by sinister plots and machinations. The time for revelation is nigh…

Four races, four outcomes, a single goal: control of the Great Vortex, for good or ill."""
Picross S,67,68334,2017,Tout Public,NA,['Puzzle'],0,6,1,[],Yes,2073600,['Jupiter Corporation'],['Jupiter Corporation'],NA,NA,"[32580, 38100, 54678, 55173, 55190, 56033, 65767, 87507, 95776, 106992]",NA,"For over 20 years, Jupiter has been bringing Picross games to Nintendo handhelds. Picross S is the first for Nintendo Switch.",
Cuphead,86,9061,2017,Tout Public,NA,"['Shooter', 'Platform', 'Indie', 'Arcade']",98,27,5,"['Action', 'Fantasy', 'Comedy']",Yes,2073600,['Studio MDHR'],['Studio MDHR'],Yes,Bird view / Isometric,"[2132, 3222, 7342, 11182, 14593, 16992, 22387, 25657, 26855, 56033]",Unity,"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. Play as Cuphead or Mugman (in single player or co-op) as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. Cuphead is all action, all the time.",
FIFA 18,84,27081,2017,Tout Public,NA,['Sport'],28,10,3,['Non-fiction'],Yes,8294400,['EA Sports'],"['EA Romania', 'EA Vancouver']",No,Third person,"[1905, 22387, 26709, 27789, 36662, 36872, 36926, 36952, 114286, 114287]",Frostbite,"Powered by Frostbite, EA SPORTS FIFA 18 blurs the line between the virtual and real worlds, bringing to life the players, teams, and atmospheres that immerse you in the emotion of The World’s Game. The biggest step in gameplay innovation in franchise history, FIFA 18 introduces Real Player Motion Technology, an all-new animation system which unlocks a new level of responsiveness, and player personality – now Cristiano Ronaldo and other top players feel and move exactly like they do on the real pitch. Player Control combined with new Team Styles and Positioning give you the tools to deliver Dramatic Moments that ignite Immersive Atmospheres around the world. The World’s Game also takes you on a global journey as Alex Hunter Returns along with a star-studded cast of characters, including Cristiano Ronaldo and other European football stars. And in FIFA Ultimate Team, FUT ICONS, featuring Ronaldo Nazário and other football legends, are coming to FIFA 18 on PlayStation 4, Xbox One, and PC when the game launches on September 29, 2017.",
Gundam Versus,68,28287,2017,Tout Public,NA,['Fighting'],1,0,1,"['Action', 'Science fiction']",Yes,8294400,"['Bandai Namco Entertainment', 'Bandai Namco Entertainment America']",['Bandai Namco Studios'],NA,Third person,"[1877, 4052, 14704, 36739, 49133, 61985, 72605, 89550, 103288, 103369]",NA,"""Newtypes! Gundam Versus, the action packed arcade smash hit, is coming to the West. With over 90 mobile suits available, GUNDAM fans can outsmart their opponents in explosive online two-versus-two or three-versus-three team battles!""

""World famous giant robot series and notorious head to head arcade smash hit, Gundam Versus, is coming to Americas for the first time, this time built from the ground up exclusively for PlayStation4! Featuring Mobile Suits from all across the series history and brand new features exclusive to the home console release, fans finally have a chance to take 2 vs 2 combat to the next level!""",
One Piece: Unlimited World Red Deluxe Edition,68,28831,2017,Tout Public,NA,['Adventure'],0,15,3,['Action'],Yes,2073600,['Bandai Namco Entertainment'],['Ganbarion'],Yes,NA,"[25646, 55199, 76253, 87622, 96217, 103292, 106805, 106987, 111130, 115280]",NA,"A remaster of the latest installment of the “Unlimited” series, with over 50 DLC’s included

With over 1 million units sold worldwide, dive back into the wayfaring journey from ONE PIECE: Unlimited World Red, with the fun-filled escapades, action-packed battles and powerful comrades from the original Island of Promises storyline, now all with enhanced graphics and previously released DLC in ONE PIECE: Unlimited World Red Deluxe Edition.

Play as members of the Straw Hat pirate crew and experience an original storyline that introduced new characters, Pato and Red Count, both designed and developed by series creator Eiichiro Oda. This action-adventure game allows for free exploration through the colorful central town with fun town folk that provide additional quests and entertainment, but be prepared to test your skills and face-off against famous bosses like Rob Lucci, Caesar Clown, and more.",
Star Fox 2,N/A,9674,2017,Tout Public,NA,"['Shooter', 'Platform', 'Real Time Strategy (RTS)', 'Strategy']",0,2,2,"['Action', 'Science fiction']",Yes,NA,['Nintendo'],"['Argonaut Games', 'Nintendo']",NA,Third person,"[1877, 19249, 25311, 28070, 55038, 57187, 95340, 105269, 107318, 111846]",NA,"After the success of Star Fox, Nintendo decided to make a sequel on the same system. However, with the release of the Nintendo 64 looming close, Nintendo decided to cancel the game despite it being nearly complete. Many features of this game were later reused in Star Fox 64, most notably Star Wolf, and the game itself was later leaked as source code and compiled into a working ROM.
The game was later released for the SNES Classic console as an unlockable game, marking its first official release. Since then, the game was also released for the Nintendo Switch Online service.","Andross returns, and this time he's got two massive superweapons, interplanetary ballistic missiles, and a host of fighters and bombers all heading for Corneria. It's up to two members of the Star Fox team to defend Corneria from Andross's WMDs, infiltrate enemy bases, and defeat Andross himself at the same time."
Yo-Kai Watch 2: Psychic Specters,73,27129,2014,Tout Public,NA,['Role-playing (RPG)'],0,7,1,"['Fantasy', 'Kids', 'Open world']",Yes,1280000,"['LEVEL-5', 'Nintendo']",['LEVEL-5'],NA,Third person,"[19164, 19404, 37382, 49414, 81249, 96217, 99118, 103303, 115308, 115653]",NA,"Become inspirited and complete the ultimate Yo-Kai Watch experience. The strange but friendly troublemakers, Yo-kai, are back in a time-traveling adventure, and this time their mysterious world is packed with exclusive quests, wicked Yo-kai to befriend, fully new areas to explore, and a revamped Blasters action co-op mode featuring new bosses.",
Divided We Fall,N/A,32256,2016,NA,NA,"['Real Time Strategy (RTS)', 'Strategy', 'Indie']",0,0,3,['Action'],Yes,NA,NA,NA,NA,NA,"[25311, 30229, 31480, 34269, 35994, 36553, 78550, 106112, 113895, 117497]",NA,Unite and fight your way to victory! Divided we Fall is a strategic close-combat multiplayer game that emphasizes the importance of building an effective cohesive squad and executing well thought-out tactics on the battlefield.,
Battle Chasers: Nightwar,75,12511,2017,16 year,NA,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Indie']",4,30,7,"['Action', 'Fantasy']",Yes,2334574,['THQ Nordic'],['Airship Syndicate'],NA,Bird view / Isometric,"[19404, 20331, 22387, 24765, 25921, 26268, 28182, 36198, 96217, 106987]",Unity,"Battle Chasers: Nightwar is an American made JPRG and dungeon-crawler, based on the best-selling Battle Chasers comic series by Joe Maduriera and inspired by JPRG greats such as Final Fantasy, Suikoden, Chrono Trigger, and Phantasy Star. It was developed by Airship Syndicate, funded through Kickstarter and published by THQ Nordic. The game features beautiful environments; a gorgeously animated strategic turn-based combat system; and hand-crafted dungeon rooms which are randomly arranged for a different experience each time. Players will battle enemies, find secrets, solve puzzles and explore the world.",
Culdcept Revolt,74,27258,2016,Tout Public,NA,"['Strategy', 'Turn-based strategy (TBS)', 'Quiz/Trivia', 'Card & Board Game']",0,1,1,['Fantasy'],Yes,1280000,"['NIS America', 'Nintendo']","['Omiya Soft', 'Jamsworks']",NA,Bird view / Isometric,"[7615, 9472, 13196, 19083, 19404, 32510, 40477, 50834, 78165, 115653]",NA,"""A world of strategy awaits.

As the Culdcept series celebrates its 20th Anniversary, the addictive card game-meets-board game is back, bigger and better than ever with hundreds of new cards, inventive boards, and exciting multiplayer! Follow Allen, a new recruit for the rebel Free Bat forces as you fight for freedom from the tyranny of Count Kraniss. Build your deck, create new strategies, and dominate the board in Culdcept Revolt! With all the classic elements veterans love yet a gentle learning curve for newcomers, Culdcept Revolt is the best Culdcept yet!""",
Forza Motorsport 7,86,36872,2017,Tout Public,NA,"['Racing', 'Simulator']",4,0,2,[],Yes,2073600,['Microsoft Studios'],['Turn 10 Studios'],NA,Third person,"[1905, 3772, 11186, 19539, 26709, 27081, 27789, 28540, 36926, 36952]",NA,"Forza Motorsport 7 immerses players in the exhilarating thrill of competitive racing. From mastering the new motorsport-inspired campaign to collecting a wide range of cars to experiencing the excitement of driving at the limit, this is Forza reimagined.",
A Hat in Time,79,6705,2017,16 year,NA,"['Platform', 'Adventure', 'Indie']",10,22,5,"['Action', 'Fantasy']",Yes,2073600,"['Gears for Breakfast', 'Humble Games']",['Gears for Breakfast'],Yes,First person,"[3222, 22387, 24426, 28070, 28168, 36198, 47823, 55173, 96217, 106987]",Unreal Engine,A Hat in Time is a cute-as-heck 3D platformer featuring a little girl who stitches hats for wicked powers! Freely explore giant worlds and recover Time Pieces to travel to new heights!,
Axiom Verge,84,8652,2015,Tout Public,NA,"['Platform', 'Adventure', 'Indie']",1,17,8,"['Action', 'Science fiction']",Yes,1440000,['Thomas Happ Games'],['Thomas Happ Games'],NA,Side view,"[3222, 18182, 18869, 19301, 20150, 23733, 26226, 36198, 55190, 56033]",Microsoft XNA,"After a lab accident, a scientist awakens in a mysterious, alien world. Is this a distant planet? The far future? Or a complex virtual-reality computer simulation?

Plumb the recesses of a large, labyrinthine world in order to learn its secrets and uncover your role within it. Discover tons of weapons, items, and abilities, each with their own unique behaviors and usage. You’ll need your wits to find them all.
Combat bizarre biomechanoid constructs, the deadly fallout of an ancient war, and the demons of your own psyche.

And finally, break the game itself by using glitches to corrupt foes and solve puzzles in the environment. Life. Afterlife. Real. Virtual. Dream. Nightmare. It's a thin line.

It's Axiom Verge.",
Dragon's Dogma: Dark Arisen,81,16300,2013,18 year,NA,"['Role-playing (RPG)', 'Adventure']",0,16,6,"['Action', 'Fantasy', 'Historical', 'Open world']",Yes,781200,['Capcom'],[],NA,Third person,"[9243, 14394, 19164, 34155, 55199, 81249, 96217, 103303, 106987, 115653]",MT Framework,"Dragon’s Dogma: Dark Arisen contains all the content from the original Dragon’s Dogma plus the additional content from its sequel, including the Bitterblack Isle area, filled with challenging new enemies and quests, and additional high level weapons and armour sets. Along with its stunningly high resolution graphics and full Steam platform support, this is the ultimate franchise experience for PC players.

Set in a huge open world, Dragon’s Dogma: Dark Arisen presents a rewarding action combat experience. Players embark on an epic adventure in a rich, living world with three AI companions, known as Pawns. These partners fight independently, demonstrating prowess and ability that they have developed based on traits learnt from each player. PC users can share these Pawns online and reap rewards of treasure, tips and strategy hints for taking down the terrifying enemies. Pawns can also be borrowed when specific skills are needed to complete various challenging quests.",
