Title,Note,Id,Date de Sortie,Age Rating,Franchise,Genres,Hypes,nb_languages,nb_platforms,Themes,Collection,Graphismes,Publisher,Developer,Multiplayer,Perspective,Similar Games,Game Engine,Summary,Storyline
NASCAR Heat 3,64,104983,2018,Tout Public,NA,['Racing'],0,2,3,[],Yes,2073600,['704Games'],['Monster Games'],NA,First person,"[27378, 27553, 44178, 55192, 80382, 103018, 107227, 109292, 278692, 278959]",NA,"There are more ways to race than ever before in NASCAR Heat 3! Jump into the enhanced Career Mode, build your own race team and compete in the Xtreme Dirt Tour. Prove that you are the best in the world in the new Online Tournaments feature. Plus, all your favorite modes are back and better than ever.",
NBA Live 19,73,103275,2018,Tout Public,NA,['Sport'],1,0,2,['Non-fiction'],Yes,8847360,['EA Sports'],[],NA,NA,"[36874, 46260, 46672, 96209, 102122, 103218, 114285, 114286, 114287, 116353]",NA,"NBA LIVE 19 redefines the way you play a basketball game. 1v1 Everywhere featuring Real Player Motion gives you control in every possession, providing you the ability to change momentum in any game and dominate your opponent. Pursue basketball glory with the freedom to create your path in the return of THE ONE. Build your squad of superstars, legends, and cultural icons to join your quest for greatness on courts across the globe in the League, The Street World Tour and your ONE COURT where you customize your rules and your line up reign. Defend your court and challenge the Community to be the ONE.",
SNK Heroines: Tag Team Frenzy,60,81146,2018,16 year,NA,"['Fighting', 'Arcade']",1,21,3,"['Action', 'Fantasy']",Yes,2073600,"['SNK', 'NIS America']","['SNK', 'Abstraction Games']",NA,Side view,"[19164, 54775, 55199, 96217, 101608, 103288, 103369, 106987, 110503, 112916]",NA,"Play as iconic heroines from SNK’s history in a new, two-on-two tag-team fighting game. Players can activate a variety of Special Moves with the press of a button, and make use of special items to turn the tide of battle. One of the competitors will be Yuri Sakazaki from ACA NEOGEO Art of Fighting 2, which launches today in Nintendo eShop on Nintendo Switch. SNK HEROINES ~Tag Team Frenzy~ launches on Nintendo Switch this summer.",
Marvel's Spider-Man,87,19565,2018,16 year,NA,"[""Hack and slash/Beat 'em up"", 'Adventure']",68,0,1,"['Action', 'Stealth', 'Drama', 'Open world']",Yes,756000,['Sony Interactive Entertainment'],['Insomniac Games'],NA,Third person,"[1877, 4755, 11156, 19560, 19561, 19564, 25076, 26192, 26950, 36926]",Insomniac Engine v.4.0,"Starring the world’s most iconic Super Hero, Spider-Man features the acrobatic abilities, improvisation and web-slinging that the wall-crawler is famous for, while also introducing elements never-before-seen in a Spider-Man game. From traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, it’s Spider-Man unlike any you’ve played before.",
Dust: An Elysian Tail,83,2130,2012,Tout Public,NA,"['Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",0,7,7,"['Action', 'Fantasy']",Yes,2073600,"['Microsoft Studios', 'Humble Hearts']",['Humble Hearts'],NA,Side view,"[1879, 1983, 3025, 5503, 7344, 7406, 11646, 16992, 18182, 26855]",NA,"immerse yourself in a gorgeous hand-painted world on a search for your true identity. As the mysterious warrior, Dust, your action-packed journey will take you from peaceful glades to snowy mountaintops and beyond. At your disposal is the mythical Blade of Ahrah, capable of turning its wielder into an unstoppable force of nature, and the blade's diminutive guardian, Fidget. Battle dozens of enemies at once with an easy-to-learn, difficult-to-master combat system, take on a variety of quests from friendly villagers, discover ancient secrets and powerful upgrades hidden throughout the massive, open world, and uncover the story of an ancient civilization on the brink of extinction as you fight to uncover your own past.",
Boundless,N/A,14365,2018,Tout Public,NA,"['Role-playing (RPG)', 'Adventure', 'Indie']",4,6,3,"['Action', 'Science fiction', 'Sandbox', 'Open world']",Yes,8294400,"['Wonderstruck Games', 'Square Enix Collective']",['Wonderstruck Games'],Yes,First person,"[1877, 9243, 10776, 17379, 17548, 25300, 26574, 28309, 47823, 80916]",Turbulenz Engine,"Whether you are a seasoned hunter, a weathered explorer, a master builder, a shrewd trader or a natural born fighter, there is a place for you in the massive open-world sandbox universe of Boundless. Watch the sunrise on one world before hunting down epic Titans on another. Explore caverns on your own or build a city with your guild. Mine, trade or fight Protectors for resources and search for elusive Oort technology.

Build a shop and trade your treasures, create amazing sandbox contraptions, sell your services, claim land, see the worlds, open a Portal and expand your reach across the universe. Create your citizen, define your role, make your mark, become Boundless.",
Dakar 18,53,81256,2018,Tout Public,NA,"['Racing', 'Simulator', 'Sport', 'Strategy', 'Adventure']",1,15,3,[],Yes,1190400,['Deep Silver'],['Bigmoon Entertainment'],NA,First person,"[25311, 35994, 79134, 103232, 109339, 110411, 114432, 116667, 118871, 120126]",NA,"Race over 6,500 miles on motorcycles, off-road 4X4 trucks and rally cars as you battle against the most severe rallying conditions in the world in the famous Dakar Rally!",
NBA 2K19,82,103218,2018,Tout Public,NA,"['Simulator', 'Sport']",2,0,5,"['Action', 'Non-fiction']",Yes,2071440,"['2K Sports', '2K Games']",['Visual Concepts'],NA,Third person,"[4642, 37419, 102805, 103275, 110411, 114285, 114286, 114287, 118871, 119422]",NA,"NBA 2K celebrates 20 years of redefining what sports gaming can be, from best in class gameplay to ground breaking game modes and an immersive open-world ""Neighborhood."" NBA 2K19 continues to push limits as it brings gaming one step closer to real-life basketball excitement and culture.",
Super Street: The Game,37,109292,2018,Tout Public,NA,['Racing'],2,9,3,[],Yes,1190400,['Lion Castle Entertainment'],"['Rebel Games', 'Team6 Game Studios']",NA,NA,"[27378, 27553, 44178, 55192, 80382, 103018, 104983, 107227, 278692, 278959]",NA,In Super Street: The Game it’s all about building your own ride. Start from scratch as you build your own supercar part by part. Use over 700 authentic car parts from the biggest aftermarket brands to create your ultimate ride and unleash it on the streets.,
Cities: Skylines,85,9066,2015,Tout Public,NA,"['Simulator', 'Strategy']",2,18,8,"['Business', 'Sandbox']",Yes,2073600,['Paradox Interactive'],['Colossal Order'],NA,Bird view / Isometric,"[7046, 9278, 10774, 17111, 29173, 33153, 44242, 55036, 55689, 117717]",Unity,"Cities: Skylines is a modern take on the classic city simulation genre. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience. From the makers of the Cities in Motion franchise, the game boasts a fully realized transport system. It also includes the ability to mod the game to suit your play style as a fine counter balance to the layered and challenging simulation. You're only limited by your imagination, so take control and reach for the sky!",
Final Fantasy XV: Pocket Edition,69,55035,2018,Tout Public,NA,"['Fighting', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",0,0,6,"['Action', 'Fantasy', 'Science fiction', 'Survival', 'Sandbox', 'Warfare']",Yes,1453200,['Square Enix'],['Square Enix'],NA,Bird view / Isometric,"[17548, 22387, 26574, 36198, 55038, 96217, 101608, 103168, 105049, 113360]",NA,"FINAL FANTASY XV in your pocket!

With a cute art style that will appeal to mobile and existing players alike and casual touch control optimized for mobile devices, allowing anyone to play with ease. The main story is told across ten thrilling episodes.",The story of Final Fantasy XV follows Prince Noctis and his friends as he embarks on a journey to reclaim his kingdom that has been invaded by the empire of Niflheim. He discovers he is on a quest to combat the powers of darkness with the powers of light only the Lucian lineage of kings can wield.
